Trimmed Review,Rating
if they would like  make next dawn  war they should abandon almost every idea from this part  due     rts  hard grind present in dow iii is very   deal with  you need  grind level for elites  it is   level  not in match hero level like it was in warcraft   for example   higher  level   more tactics you can pick for your army  hero power stays      same  there is option  disable elites tactics  in match  after which you will get multiplayer experience very close  what was in dow   not terrible but could be better  like in soulstorm for example   elites had  bit wrong   but overall heroes are very  idea in my opinion   it reminds me  warcraft   they give some   old concept  online rts  but they are    especially in  hands  good players   i really do not get  idea  devs for dow overall   they are  it from its unique gameplay  make it more like  company  heroes  i can not say company  heroes is  bad game  but we do not want  see dawn  war as  company  heroes clone but in   universe  let us stay with players most favorite experience from dow i  if you want  make coh clone in   universe  make it as separate game   do not mix them together  it is not working  players do not want  play it  not because it is bad  but because it is not  good   warhammer   i believe this is why call   or  for example is selling so good  because it is stays  same    dow in my personal opinion would be campaign as  result  mixing dark crusade soulstorm dow    with long   bit  story  multiplayer from any dow i expansion  additional   players  co op from dow   that could be playable with bots  i mean it was cool with players  but dow   never had  big   later on  it was impossible  find game    achievements without xp mods from steam workshop will take   pointless grind  get them  game could have  bit better   but there is no point in making it happen in this part   it is      oh    big minus for  lack  playable chaos in this part   this does not really count for my   but i would like  see them       it has   worst single player campaign in  whole series that feels like skirmish with additional character lines  some objectives   do not buy it   wait for next part that will hopefully be better ,0
awesome  d for  empire ,1
it is fun  it is good  so everyone should get it ,1
yes,1
even better than    i loved    that game for  long time  very     highly recommend this for fans     universe  anyone that   well made  rewarding in depth rts   they removed  skulls thing so u have access   majority  doctrines from level    all   elites   campaign has taken  different approach  previous campaigns with great story line   awesome cinematics ,1
thats an  with high quality graphics nice story  active  thats an really good game,1
 doesnt even do my    where is  grimdark  where is  base building  where is everything that made dark crusade great  where is an    story   i get more entertainment from   than this garbage ,0
 disgrace  warhammer   franchise  they took everything that makes   good   they removed them like  joke damn shame  call this shallow garbage  ,0
better than launch,1
wtf is wrong with you guys  this is one   best rts game since   also one   best looking ones  overall  for me   best looking game in  warhammer universe  i can not believe it  such  piece  art is not  well   community  relic  you made such  great game   so sad that we will not see some more updates or dlcs   ,1
good,0
felt like  dawn  war game but with enough spice  make it different ,1
crap,0
absolutely disgusting  stupid gameplay  story line  space  attack again  humans look like dumb  again fighting against  eldar who are trying  save  freaking universe  game plays as  moba  sorts even with all  changes   levels are small  look like   upgrades take forever  gameplay is  around using heroes since everything else takes forever  build because even with maxed resource points they simply generate too little  both   graphics are quite decent  instead  making this crap  they should simply remade dow soulstorm or   retribution with  graphics  better soundtrack  it is like they are trying hard  make  low quality game that   lot  instead  making  fun game that everyone would enjoy,0
more content would be nice,1
what  disappointment   just how  up  moba multiplayer part   game is  which many other people have already  on    single player is just poor  with no difficulty  or  challenge    final mission  what an   game design   spirit  dow   let us take away all your base building   your armies  just give you   elite units for  whole mission  which ends in   boss battle  which you have  micro manage  win  it is    what made dawn  war  good rts  i got this in  humble bundle  glad i basically did not spend any money on it  spend your time  hard earn cash on something else  i feel so sorry for    sound   developers etc etc that worked on this  they were lead down  wrong  by designers  marketing wanting  get onto  moba bandwagon ,0
such  shame this game tried  be something it should never have been  it failed  for that we may never see another dawn  war game again    i loved this franchise  i guess it is back  soulstorm apocalypse mod then  ,0
just played through all  dow games up  this one   i only played it  bit  but did not like what i played  judging from all  other reviews it does not get better  they did not try  fix it  seems they should give  dow series    make  tw with when they finish warhammer fantasy ,0
classic,1
an insult  dawn  war  wtf happened ,0
amazing game,1
this game  down    setting   characters are awesome  but  game itself is pretty shallow with non existing tactical depth  also   three races have  exactly same play style  build  bigger army    enemy  very disappointing considering how different    orks are supposed  be  also   cover system    my   what were they thinking  only recommended for  fans   dark  ,0
dawn  war more like fun game ,1
loved  first dawn  war  all  expansions  less  on dawn  war   but still enjoyed it overall  i have no idea what  developers were thinking when they made this  it seems  have dropped everything i enjoyed about  last   games   scale      cover mechanics tactical gameplay    it is  matter  personal taste really but i also really dislike  cartoony look they went for  graphics  i played   for over   but could not make it past mission   or     campaign in this  after  few multiplayer matches  i hated it  uninstalled ,0
just beat  campaign  i see why so many people were upset by this game  wait for it  go on   sale     lack  missions  last mission is  chore  i did not have fun  was ready for it  be over    feel cheated out  cinematics  replaced with  still    story was okayish    least i got my  ,0
i have never played this game  please disregard this review,1
it is just  bit meh  i never even managed  finish  campaign first time through   it  it is just no fun which is  real shame as i was  big fan  dow,0
this is  solid experience  well worth  price   for  general   fan   care is taken with  lore  characters  over   but  be fair   this game  with  formula   previous dawn  war titles   it with  far more linear experience   i would be   call it   down  rts as  simplified  faster rts  experience because there is no failure here on  part   developers   it is   choice than many franchises might adopt  but there is plenty here for      series   newer gamer   at   cut  you simply spam  units needed for   at hand  but there is   reward for     by  campaign  multiplayer options   very   extremely loyal     universe  solid overall ,1
blood for  blood god,1
 great game  left   by       mod community have come      make this game still worth    worth  effort   ,1
i do not know what  game was like on release  but  game is absolutely  i enjoyed every moment  it  love  play it with friends   only problem is  online player base  its not very active   devs should make  free version where you can only play as  empire  man with   limited elites so  game gets  casual player base  also making dlc factions for     piece like  tau  chaos  dark eldar  necrons would be  super nice addition   my advice though is  turn off elites  doctrines on your first matches  as  elites are super micro manage heavy  need  get used too   its likely true however that it  way too much from starcraft  i would also highly advice  only buy this game during  high sale ,1
there are few examples in video games   potential worse than dawn  war iii ,0
 intro cinematic is    campaign is fairly good  but this game has sadly been  at   board  too much complexity for  sake  complexity  off putting models  cartoony animations  very few races  choose from  too much trying  be  moba  as somebody with   hours in      it  me  say it  but this is  huge  ,0
bland  too few factions  too little story  compared with dow  dowii  massive   maybe i will give it another try in  future    but i doubt it ,0
i played tons  dawn  war   i would still come back  it over this time  again   main reason many   fans  about dow was for  story  campaigns  which this game basically  into   i received this game for free via  press account  still  it because i knew i would never play it again ,0
 storyline is lacking   gameplay is monotonous   controls are also  ,0
mid,0
several bugs in  menu  in game  story is weak  seems like they  this after starcraft versus trying  do something unique for gameplay ,0
very good,1
meh,0
do not bother with this  not worth it even on sale or humble  combat does not feel   controlling units  their  is clunky  you can more or less just attack move everything  focus on managing just your elites   multiplayer mode has some fucked up moba  in place for no real reason   sp campaign forces you  play all   races  changing   next race every mission  so if you do not like one or two  them  you are gonna hate it  probably drop it rather than put yourself through that  only care about space marine  or eldar  or orks  tough luck   only   out    missions is gonna be   you then it is back  another two you do not give  shit about  no thanks  dow     master race dow     ok  but overall worse sequel  except for maybe rpg sp elements dow      ,0
while  great idea in concept   plan     basic units created through base building has  in  game that is either  dull   or  generic hero   i assume  developers thought this would be an easy cash  as   fans love their hero units   with  minimal number  special units   army  system   only   races there was  obvious structure  for    style  system  as there is no longer any support   game is   die  hopefully  devs clean   come back with  dow game that is worthy   previous titles ,0
completely different   amazing dow   devs took nothing great from their previous games  when everyone hated it they abandoned  game  do not bother ,0
someone obviously put  lot  love into  animations    lot  thought into     sound design is  as well  those   are  joy  listen too   this game is perhaps  most gorgeous rts i have ever played  some   game play elements are  such as  hero units  i like them because they add     game styles you can play  but they also further limit your unit selection in an already   game  over all though  matches are fun  fast paced   atmosphere    music   combination  is also incredible  if you like warhammer   or rts games you will have fun with this one  some   units do not behave like they should  but there is no better way  experience  grimdark world   ,1
i am not too bothered about  multiplayer aspect  so far i very much enjoy  game   campaign is fun  i enjoy   solo skirmishes against ai  while i miss some minor things found in   previous   like  recall retreat button   game keeps me engaged  i keep coming back for more ,1
great game have played both previous dawn  wars  love  warhammer   games,1
meh not bad,1
buy this game,1
game breaking can not continue bug on mission  ,0
well  this game sucks  i liked  first one  loved  second one  though i did miss  base building aspect  this one is just    not good   gameplay is  mess  often i would try  select multiple units  for some reason my  would just   some far off corner on  map  it feels slow    commands  there is too much focus on your elites while your actual army feels like cannon fodder  while at  same time bringing  much focus  your freaking unit abilities    it is just  mess   but  worst part though  while this may be very much   which one  you  designed this campaign  let me play my marines in   i do not want  jump from marines   orks   eldar   whatever comes next because i could not care  push through  ugh ,0
yes ,1
this may in  be  least   dawn  war games  but it is  in fact  still  good game    gonna hate  but    does not deserve   it is gotten   it is  decent rts that gets everything  right  but   single player campaign does make it hard  love  you are forced  skip from race  race with every mission  that makes it hard  develop any true  for any  them even by  end   game   another  let down is  lack   last stand mode  which by itself probably would have made        aside from that though  there is still fun  be had here in skirmish  multiplayer   it all looks great  too ,1
do i   game yes  do i recommend  developer publisher hell no      you  dawn  war franchise ,1
you like warhammer   play  game ,1
this is almost    game  you can play around with  single player but it is  multiplayer you are after  it is  most fun i have had in  competitive rts    joy  beating other players is really rewarding in this game  each battle feels intense  bad ass     dark atmosphere coupled with  visuals   futuristic war sounds makes this one   most unique experiences you will ever have on  pc   join our little community  see if you have what it takes  beat me ,1
great,1
i have only played  single player campaign   missions so far    it is good  not great  looks gorgeous  no bugs  but  start   campaign is confusing  playing all three factions   meaning you do not have time  get used  any  them  but half way through  missions improve massively  my biggest  with  gameplay is that most missions  long   time where you just wait  gain resources in order  create  upgrade units  otherwise  it is  more than  decent rts game   quite frankly i had  lot  fun with it ,1
visually this game is nice   it has interesting story for  blood ravens    characters  however   gameplay is terrible  controls   commands seem slow       un   this simplest things  such as  attack move command  seem difficult  give   track  this poor gameplay has sucked all enjoyment out  this game ,0
kinda  ,1
not worth  money or   space   ,0
its less   strategy game  more    story that i do not care  hear   cinematics make you think your going  have these huge wars like total war  warhammer  no  its  opposite ,0
how can you fuck up so hard   thats  only question i have for relic ,0
they took  good rts  turned it into  lane    it looks like they  out  money  gave up on   single player experience,0
such  letdown   game has  ton  issues  bugs   main campaign   progress  my elites several times  putting them back at     ai is   after  completing  mission it will sometimes show an empty pop up   your option is    restart  game  every time upon launching  game it  my   on windows  i either have  log out  my windows account  log back in or restart so it goes back  normal   stuff aside   story is boring  at least it is not  level  dow retribution  where you have  replay   same stuff but with  different races ,0
its not as bad as people say  im having alot  fun with it   fights feel   look cool ,1
barely  just barely worth it if you played  other dawn  war games  can get it cheap   they somehow managed  combine  worst parts from dawn  war    retribution   out any base building fun from dawn  war    it is utterly    there are fewer resource points so they basically do whatever  game feels like at  time   sometimes you can get power  sometimes resources  sometimes you can upgrade it  sometimes not  it is frustrating  annoying   actual game play is   but things like   do not have any  any more   still  for one play through i guess it was ok ,1
if you like  dawn  war games you will love this one just get it,1
honestly  complete letdown for  series,0
did not feel  excitement   other games  did not feel anything  got bored  fast  sad i loved  other ones  i got  cards     ,0
great mission based single player   breaking multiplayer,1
no redeeming qualities   sad end   good franchise ,0
i would not recommend this for   dollars    do not get me wrong this one  true   warhammer formula but     game  breaks  flow  things  also  multiplayer has little players left  i have only encountered   players in  multiplayer with only   servers  this is  good game but could have been better  btw rts games do not hold up in today is standards  this generation would find them boring but as someone who was  in  early   i have played  lot  rts games so i am familiar with  formula  they could have made this into     loot  shoot then this game would have been   there really is no strategy  just click  watch enemies die but still you can use strategy but that will make  game longer  less fun  i can not recommend this   ,0
 on   franchise ,0
  is not it   ,1
 this is  waste  time     money    first  all   rts is long dead   i was hoping they will do some dow ii game with loot   rpg mechanics game  but this is crap   story is boring  last boss s unbalanced    do not buy this   let them understand that we need dow ii style games without this outdated base building  we do not want   bases  we want  ,0
 game that  its franchise by losing its vision  identity  believing it can attract both rts  moba fans while lacking on either front   warhammer game with starcraft ii is vision but so inferior  it is enough reason for you  just continue playing starcraft ii ,0
 only game i was   refund because i waited   hours  get  match  did not get  match  did not get  money  did not finish my  either  my  abandoned me   ,0
if you like company  heroes series  total war series     you will love this game ,1
am  fan  space marines so i like all that universe  for fans great for others recomend,1
this game is very ehh    i have not played it that long  i am already seeing flaws   factions seem very similar when in dawn  war      they were very diverse  for    you could get  other dawn  wars  that is  much better deal  it is not  bad game just very mediocre  you could get some good fun out  it  but for being  dawn  war game it is disappointing ,0
dow       are much better games   interface on this   is far too    graphics look like  mix between       it feels like  mobile game     do not bother ,0
this game is terrible even with mods ,0
not recommended  game abandoned by devs  no  why  would take an entire rebuild  make it good    bad enemy unit ai  no need for strategy or tactics   terrible unit   some units   map  are   even with  is  stop command    ranged units can    out when engaged in  only  stand there  die   negative resource army upkeep is never      units out      late game   units   you can attack behind cover walls if you have  making it one big open map   melee units can attack   units on top     makes for some dumb animations   doctrines exist but  selectable for  lot  missions  they include things like   while moving   other basic things you would expect from  start   mp is dead   simple things like  are locked down unless you grind elite units   unit  does not matter if you     game will  your entire army    stupid story bad  voice acting    let us wipe this ork from  board    not even grimdark  game throws you all over  place with sp mission structure  feels like they wanted  make an rpg rts moba  failed  ,0
 here is with   campaign mode   where dawn  war      were unique  fun in their own right    really let us  collection down  as  player  you are stuck playing  you would possibly never usually play  so your   in  story  campaign is minimal   campaign tries  tell   story   but does not  you  make  connection with     so  i  at least found myself not really caring    i also was not big on  mechanics  there are too many individual unit mechanics  jumping around  make this easy  get into  there are probably some fast  starcraft   guys that love this sort  thing  that said  i just could not get into it    it is flashy    at  same time   me it seemed there was not much substance    where  rest   series is    for me ,0
it was  fun game  i enjoyed it  i would recommend on sale,1
hot garbage  does not even hold    dow i  ii,0
i got this game in  humble bundle which means i payed maybe two dollars for it  i regret that purchase  this game is  far cry from  first two in  series    my reasoning  this game plays itself  all i have  do  beat  mission is  troops  any troops   mass them into  big   people  throw them at  enemy  in  first  second game there was much more strategy involved   stories that they told made me  in    each battle  i barely care about this game enough  give it this review   only reason you should buy this one is if you have  first two  want  complete your library  are okay with wasting money  do so ,0
great game,1
awkward  clunky   slow  try   original dawn  war instead  this is not  game you are looking for  unless you like crashes ,0
warhammer doing rts right for  past   years   if you are  fan  starcraft  rise  legends  warcraft iii then you will feel at home   plus  lore that  warhammer series  is      give dawn  war i  ii  if possible ,1
its actually   me how bad this game is  dawn  war   original  is was probably one   best rts games in  history    for dawn  war   is change  mechanics   different play style should have provided more than enough   learn their    instead  we  up with this   all that was necessary  get  solid    for effort was    original dow game play    in  little   rpg elements     progression from dark crusade   leveling from     campaign is short  uninspired   multiplayer was  designed as   get on  starcraft   bandwagon  attempt without  player base  support those     unit combat suffers from an    on use  abilities  it just is not fun   hard avoid  even at   ,0
overall still  great game ,1
i just got bored real fast with this game  if you ever played  original games you will have  much better time ,0
if you love warhammer  you will love it ,1
man  i only wish i did not suck at rts games  orks orks orks ,1
tldr  dawn  war   is  by  development is lack  focus   between  traditional strategy with  tactic strategy just can not mix well  nor is  grimdark future  well for  warhammer     terrible animations for space marines   warhammer   dawn  war     what  shame     seemed  get  back into     first dow with  twist by mixing it with  second dow    making some sort     game    what i mean by this  is because  campaign features about half   base building   first dow   more tactics  your  armies   in  because they feel like canon fodder   in addition  too much focus on elites  essentially making it feel like  moba but where you control  units  base building   this is not good   they could have saved it   less focus onto elites  fixing some  their rather    shitty  animations  see space marines   where orcs seem  be accurate  eldar more or less normal   space marines looking  bit like  with their one big  per shot from their heavy bolters   looking gabriel with his weird armor making him look like  space marine mixed with  terminator in addition  his    animations makes him look     just why     campaign features some challenges  which i have not finished because  game decided  crash   but also makes too much focus on unit abilities  which  frankly  does not mix well with traditional strategy games  it is quite clear they had  focus on being  game with high action per minute  apm  but with  resource management    good luck  really slow generation  resources    overall    relic went  easy way  quit trying  fix something  because graphically speaking  it is quite beautiful  cinematics  fantastic  game itself    does not   grimdark future where only war exist    if they focused it more as  traditional strategy  rather than  high apm esports game    they could have made  good  if not   great game ,0
actually pretty good game destroyed by   community ,1
its like they took its soul,0
buy   bit armies or dawn  war i instead,0
incompetent developers make for  chore instead   game  once again    is wasted on  that should   making  games on   just    entirely  relic account  form should tell you how little resources went into  game   complete mess where  e  field does not even accept an   character   devs are so  incompetent they actually managed  make   using    party service   that one up as well ,0
i liked  game  i can see why people think it is not  best   bunch  but in my opinion i think it has all  potential available  be  good game on its own  i just finished  campaign on   level  did  couple  hours in solo skirmish  guys     all you have  do is play multiplayer in  annihilation classic   disable any unit   plus   gui  map   left  commands   right   that is   experience    you will get   with epic battles with  battlefield full  units    space  everywhere   i will try  keep it short  here is what i liked    nobody seems  be talking about my points so take  read         major problem i had with  game is text  it is sooo   seriously wth  i simply can not read    i just ignore all  those  that  on screen     there is so much gui stuff on screen  click that you will get overwhelmed  this is in main   ingame  you will have  give it time  learn what each thing does  get used      too many   more  stage active abilities for units  in  heat  battle you do not have  time  wait for  next condition  occur  most   time  chance  complete    stage is never  or you have  cancel  ability  react  other quick   issue other commands     i really enjoyed  campaign   story is intriguing  although i would have never brought back any characters from past games  those characters  stories were  in   they are legends  it ended up being pretty interesting in  end but still  no go for me  also  wth with  last stage  what were  thinking      multiplayer  infantry units when  with other infantry units simply  into      you lose  squads within   seconds upon engaging in combat  i think they made it like this for  sake  realism  scale    titans can still be taken down by  bunch  infantry squads if  with heavy   that will at least give them  chance against powerful titans  mixed opinion  be honest     needs more multiplayer maps  army        i loved     changing cutscenes between   some call them lazy but i loved them  that one when macha  angelos  then she    webway gate  slowly sucked by it     that face    that      open    enemy   him  i am going  kill you later   you have  see it      developers  you with  system requirements  but  i have  pc from   with      core       graphics        i run  game maxed out in   resolution   though      i like  sense  scale  realism  that time when for  first time playing multiplayer you think you are god because you are  with  bunch  specialized squads plus some elite units  then you  face  face with  big ass titan that  more than half your screen    in real life  immediately fall back    be          campaign was fun  i would have made it longer though  skirmish multiplayer only fun when  annihilation classic  mode is played     ai in skirmish is tough   fun  at least i get my ass  most   time  i suck at  game i know it but i have fun trying  improve myself      game is fun  has mod support  even extend it  give it  chance  there is no other way  really experience it in full if you do not give your time  play it  i  you it was  same with   when released  do not be  cry baby  just remember  leave your politics out   game  enjoy  good things while you still can                                                                                        that was  fast track  my opinion based on   hours  experience with  game  i totally  your own opinion whatever it is  i left comments on  would like hear what you think about my points ,1
this is  game for people who are good at multi   i am not one  those people  there are  lot  things you have  manage compared  old rts games   bots are  overtuned  basically do everything at once  i am sure that if you are good at doing lots  things at once you will enjoy this as every battle keeps you very   there really is not any down time  if you are  down time then  are  enemy is about    bunch  your    only time i ever get  second  check how my resources are doing is when i can not   build something  every other second especially in  later game is spent spam building units  moving them around  try  keep them alive  i typically wait  play multi player until i master  matches  but maybe i will give multi player  chance  see how i  ,0
 game is all   no substance its tried  be  mixture  dawn  war    dawn  war   which is not  bad thing but  mechanics   game let it down  also for someone that likes  play against ai  lot before going online this is  poor ai  on casual difficulty  ai as your opponent  like  hard computer  your team  ai on casual  hard   stop  units  attacking mid game  overall  game lacks in  fun  ,0
please keep your politics out   warhammer universe,0
moba or rts not both it wants  be both but fails at both  also does not like running on my  for some reason,0
this is  joke it seems   horrible joke upon us    i am not sure how you  so much from dow ,0
honestly i  what  think  it but its  not  dawn  war    graphics are so  you like yeah this is going  be awesome  this looks beautiful then game starts  im like wtf is this   this looks old like worse than  first dawn  war games   but  game play feels like  first game but with  graphics   like wtf   i honestly do not know what  think  kinda  me  like why make  game then make  graphics worse than  first   series  was so hyped  now just gutted,0
it plays more like  moba than  warhammer game  but is not bad   lack  further support from  company  as well  apparently it did not sell well or something  i have had fun playing it though  but  be fair i got it out   massive bundle  only paid like  couple  for it ,1
not really worth  time,0
cool game lovely graphics,1
i find  community is very  on this game  i like playing  game  i prefer dow ii as  game modes are better  prefer  resource mechanics on  previous game too  but  game is still good  if you are buying this game though  please  around as i got it for   not    fact that  developer has killed it is player base instead   it was wrong though  i wish there were more armies  pick from    just is not enough ,1
its fun ,1
nope just nope worst installment in dow series,0
not knowing much about any   previous games  i just enjoy  space fantasy about it,1
another  great game in  truly awesome series     ,1
great game  need more modders  stop    get in  game ,1
this game is nothing like dow   or   its trying  be  moba or something  garbage ,0
despite all  bad press  i really enjoy  game   large scale fights can be epic  its challenging enough ,1
you can see that relic tried  do something new but that  direction  marketing   money hungry   wanted  take another direction     is  for identity   was  great base  game with good combat mechanics   was  great strategy game with deep combat mechanics      cover system    is trying  blend  bit  base building    bit  cover mechanics     i would not say it fails at both  there is some great stuff   elite is  good   that  but  they are so unbalanced that everything feels like fodder cannon in  end game   i am left with an overwhelming   knowing that   might have killed  dow franchise have such poor sales  reviews   do not get me wrong  i am sure that with some new races  re balanced mechanics    army   this could be  good game  but it will not if you wanna enjoy  bit  what   offers  wanna feel   buy  game for   no more ,0
at  point  this review i have   hours  playtime on it  right off i knew i  into another letdown with  sound effects  how does this keep happening   dawn  war series  from dow  dow ii  major letdown was  inferior sound effects   space marine   now this comes out  it feels like everything in  space marine  sounds pathetic   game play is   boring  especially with no obvious way  access  elite units  specifically  imperial knight   obviously i have not played enough   tutorials  i  through  first one as     previous two games bored       others were more   same  played against  ai too  orcs    that was pretty stupid  on casual   it takes forever  kill anything  you just slog through an     orcs even when controlling more than half  field   it is like they needed  make  space marines suck for some reason  i will try  game again after i cool down  but this is not what i expected with this level    fire  made this  have dow   done by people that actually give  damn about    universe please   if you bother at all   ,0
good game   campaign was  bit short for me  but i get that maybe  target was multiplayer gameplay   this game is far better than  first two for sure  anyone who says otherwise is   nostalgia   developers had good effort on this one  this game is quite old so i doubt it would get expansions anymore   but here is  hoping for  better sequel  one that  all  good parts  it is   possibly some   aspect  other warhammer games like   such   this game was  bit limited on content really  but it is  good game   would recommend for rts players ,1
i do recommend dawn  war iii   but i suggest  pick it up on sale  i had  negative  before playing because many people said  game was not good  but i wanted  give it  try given that i had enjoyed       all  their expansions   so i was  surprised with many positive aspects   action is good  animations are smooth   sounds  score all  together well  overall it is  good game  but my review only   single player  here are some  for      pause  game  give orders    this single feature made  game an absolute joy    queue up orders while  using  shift key    base building is here but not as in starcraft ii  you can not spam defensive structures     heroes  elites  are awesome    voice acted well  they feel      orks are funny    is well done     graphics are very nice    i got what i wanted out  this rts with space marines   eldars   orks   imperial titan units  terminator is assault ac   heavy bolters all sound as they should        universe is rich  an already  universe that i like   on  negative side     campaign felt too short    missions total   for each race     mixed race missions    you can no longer     for your squads as in      leveling up mechanic did not work during  campaign  this was an excellent part    but it is not present here    you can not   at all  your heroes during  campaign  i miss that from       were diverse but i would have liked  have more  vanilla  destroy  enemy    sometimes  missions feel too much  by story   gameplay suffers    but overall it was positive  i am super slow playing  campaign but that is all that i did   ,1
dow is  great series  it sucks there is not an easier way   or even save your troops  though    if you love   it is  must buy,1
shit game  there is only one   other than that  very boring campaign,0
this game is amazing idk why people dislike this game tbh,1
i think people are too hard on this game  this is not dow    many wish it were more like that  better  sure it is not perfect  but has some great things not in previous dow like  imperial knights etc  plus it is still  lot  fun  play  it could be  lot better  more like people want like dow   but this game is still fun  has so much potential  too bad it does not have more factions  troop types etc  but as i said it is still fun for me  there are also mods that are very easy  access that improve  game ,1
it is like dow ii  just not as good ,0
best franchise ever  love these games  every entry has amazing content,1
this game does not even let you customize your        glad i got it for two dollars ,0
this game got so much hate online i  it like    people said it was essentially  moba  that made me stay away from it  i finally  in  very   sale   it for   dollars  went in with zero expectations  quality  i am both pleasantly surprised  mildly upset that it is nothing like what i was told  pleasantly surprised at  game  upset at  people i     yes you have  destroy    then    then  core    win  you have   elite units that are somewhat hero like  but do not level up  then you have your base  there is base building   you have   units   upgrades  you know    sort  like an rts  there is no auto spawning minions going down  middle that provide exp  gold    i had just come off   dawn  war   campaign  dawn  war   is  game where you have limited squads that level up  get loot  yet somehow that got  pass  though yes i know there was some upset over it not being like   where   which is much much much closer    did not  i do not understand  apparently   did so poorly relic abandoned it   all plans for necrons   i am  future dlc   so that is  bit     this review has not been much   review though   voice lines can be  bit poor in some     animations can be  little   but it is  great game  definitely worth  purchase  especially if it is on sale but i would say even at full price  it is  more faithful sequel    than    it deserves  be fairly  ,1
i first thought  game  was  by former dawn  war  dawn  war ii fans but honestly  no its not   game itself in its current state feels boring   elites kinda lackluster  empty  like  hollow shell   game  it just  fun  go get dawn  war   instead  while  graphics might be old  well  its at least   years old  its much more fun than this game  maybe  game will not be empty  boring in  future but im not quite sure  it ,0
fun experience through  campaign  does not feel repetitive   keeps you engaged  ,1
this game does not even deserve   review  not because it is objectively garbage  it just feel like so because  expectation   warhammer   community  was high   relic had   options  follow  classic rts formula or do just like   they did neither  those  surprise surprise they managed    entire community  quite       ,0
same old warhammer just better graphics  meh glad i only payed   other wise i would be real upset  more than i am now  what  shame,0
i liked  campaign   was never interested in multiplayer    so i recommend  game  those who want  hear  story  play through  campaign is storyline  i was quite impressed  played through it twice   first time not on steam      ,1
i want  refund for this lazy       that relic made  well done  you basically destroyed  whole franchise with this thing ,0
game is dead no support  never  anything with  dawn  war    money grab with totally disregard for fan  very disappointed   ,0
good missions  i wish it was longer with more races   i wish we had last stand on  ,1
compared   previous games  it is  disappointment  i have played through  campaign   difficulty is not  hard so much as cheap  as  multiplayer was dumbed down into  moba  if you are going  get it  wait until it is    otherwise skip it ,0
i love dawn  war  from  beginning all through  expansions  into dawn  war two  all  there expansions  i still play both  this day  yes they are  but they are still better then what ever this is trying  be  i over paid for this game  i paid   for it  maybe   dollar then think about this game  its  biggest let down since  crusade  but at least  gave us something new  they tried  make  interesting game ,0
